Year,ID,Name,Import,Export,ImpIDA,ImpIDB,ImpIDC,ImpIDD,ImpIDE,ImpIDF,ImpIDG,ImpIDH,ImpIDI,ImpIDJ,ImportA,ImportB,ImportC,ImportD,ImportE,ImportF,ImportG,ImportH,ImportI,ImportJ,ExpIDA,ExpIDB,ExpIDC,ExpIDD,ExpIDE,ExpIDF,ExpIDG,ExpIDH,ExpIDI,ExpIDJ,ExportA,ExportB,ExportC,ExportD,ExportE,ExportF,ExportG,ExportH,ExportI,ExportJ
2017,372,Ireland,66185.446,160290.327,826,040,276,246,842,,,,,,65949.788,231.585,2.645,1.392,0.036,,,,,,826,442,,,,,,,,,102308.543,57981.784,,,,,,,,
2017,376,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,380,Italy,3371257.237,433016.118,251,757,276,203,040,705,100,300,191,470,1048000.235,1021304.134,946912.053,216878.621,63719.362,30169.968,24213.827,16336.386,1881.316,1841.335,757,276,470,300,674,203,251,705,191,100,131685.376,85092.046,52742.192,39915.009,28516.072,27280.553,18771.803,18442.413,16672.452,8746.638
2017,384,Côte d'Ivoire,,48515.197,,,,,,,,,,,,,,,,,,,,,854,,,,,,,,,,48515.197,,,,,,,,,
2017,388,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,392,Japan,1.542,32.818,410,,,,,,,,,,1.542,,,,,,,,,,414,,,,,,,,,,32.818,,,,,,,,,
2017,398,Kazakhstan,37346.888,108321.729,643,417,,,,,,,,,37209.227,137.661,,,,,,,,,643,417,,,,,,,,,108167.049,154.68,,,,,,,,
2017,400,Jordan,4371.057,6153.937,818,,,,,,,,,,4371.057,,,,,,,,,,275,368,818,,,,,,,,5606.362,520.645,26.93,,,,,,,
2017,404,Kenya,0.306,,710,,,,,,,,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,408,Dem. People's Rep. of Korea,132.21,10981.076,156,,,,,,,,,,132.21,,,,,,,,,,156,,,,,,,,,,10981.076,,,,,,,,,
2017,410,Rep. of Korea,0.05,1.633,764,,,,,,,,,,0.05,,,,,,,,,,392,512,,,,,,,,,1.542,0.091,,,,,,,,
2017,414,Kuwait,36.201,,392,156,784,,,,,,,,32.818,2.605,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,417,Kyrgyzstan,154.68,24666.341,398,,,,,,,,,,154.68,,,,,,,,,,860,398,,,,,,,,,24528.68,137.661,,,,,,,,
2017,418,Lao People's Dem. Rep.,34844.36,1225965.773,764,156,704,,,,,,,,28944.314,3717.123,2182.923,,,,,,,,764,704,116,104,,,,,,,1178861.62,41963.424,5127.238,13.491,,,,,,
2017,422,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,426,Lesotho,29402.767,16.004,710,508,,,,,,,,,19353.376,10049.391,,,,,,,,,710,,,,,,,,,,16.004,,,,,,,,,
2017,428,Latvia,164886.987,147511.058,233,643,440,,,,,,,,99067.549,38213.418,27606.02,,,,,,,,440,233,643,,,,,,,,140570.893,5600.261,1339.904,,,,,,,
2017,430,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,434,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,440,Lithuania,424875.273,122444.645,428,752,643,616,233,112,,,,,140570.893,124819.622,116686.553,21193.733,14706.391,6898.081,,,,,616,428,233,752,643,,,,,,63485.694,27606.02,25037.199,5820.494,495.238,,,,,
2017,442,Luxembourg,268227.691,52987.775,276,372,056,100,203,,,,,,177736.037,57981.784,23627.882,5811.758,3070.23,,,,,,203,100,040,056,276,,,,,,40919.45,6033.491,4395.37,1249.572,389.892,,,,,
2017,446,"China, Macao SAR",359502.315,,156,,,,,,,,,,359502.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,450,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,454,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,458,Malaysia,402.079,66631.648,764,,,,,,,,,,402.079,,,,,,,,,,360,764,,,,,,,,,66052.417,579.231,,,,,,,,
2017,462,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,466,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,470,Malta,52742.192,1841.335,380,,,,,,,,,,52742.192,,,,,,,,,,380,,,,,,,,,,1841.335,,,,,,,,,
2017,478,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,480,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,484,Mexico,1280.643,93852.361,320,,,,,,,,,,1280.643,,,,,,,,,,320,,,,,,,,,,93852.361,,,,,,,,,
2017,490,"Other Asia, nes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,496,Mongolia,137218.789,359.066,156,643,,,,,,,,,110347.621,26871.168,,,,,,,,,643,,,,,,,,,,359.066,,,,,,,,,
2017,498,Rep. of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,499,Montenegro,59063.104,26343.427,757,070,688,705,203,208,276,008,,,14704.246,13689.224,9914.036,9023.743,8424.28,2981.258,321.274,5.043,,,688,070,203,757,705,208,008,276,,,12005.32,4574.185,3446.859,3233.207,1873.286,1013.976,195.784,0.81,,
